# ids as used in XML and tabular bibles			
# col1: XML ID (b-IDs as used by http://www.umiacs.umd.edu/~resnik/parallel/bible.html, a-IDs new)			
# col2: alphanumerical ID used by in CSV files provided by http://worldbibles.org			
# col3: ID used in Dutch html bibles from http://dbnl.org/			
# col4: canonical name according to http://worldbibles.org			
b.GEN	01O	bibgene	Genesis
b.EXO	02O	bibexod	Exodus
b.LEV	03O	biblevi	Leviticus
b.NUM	04O	bibnume	Numbers
b.DEU	05O	bibdeut	Deuteronomy
b.JOS	06O	bibjozu	Joshua
b.JDG	07O	bibrich	Judges
b.RUT	08O	bibruth	Ruth
b.1SA	09O	bib1sam	1 Samuel
b.2SA	10O	bib2sam	2 Samuel
b.1KI	11O	bib1kon	1 Kings
b.2KI	12O	bib2kon	2 Kings
b.1CH	13O	bib1kro	1 Chronicles
b.2CH	14O	bib2kro	2 Chronicles
b.EZR	15O	bibezra	Ezra
b.NEH	16O	bibnehe	Nehemiah
b.EST	17O	bibesth	Esther
b.JOB	18O	bibjob_	Job
b.PSA	19O	bibpsal	Psalms
b.PRO	20O	bibspre	Proverbs
b.ECC	21O	bibpred	Ecclesiastes
b.SON	22O	bibhoog	Song of Solomon
b.ISA	23O	bibjesa	Isaiah
b.JER	24O	bibjere	Jeremiah
b.LAM	25O	bibklaa	Lamentations
b.EZE	26O	bibezec	Ezekiel
b.DAN	27O	bibdani	Daniel
b.HOS	28O	bibhose	Hosea
b.JOE	29O	bibjoel	Joel
b.AMO	30O	bibamos	Amos
b.OBA	31O	bibobad	Obadiah
b.JON	32O	bibjona	Jonah
b.MIC	33O	bibmich	Micah
b.NAH	34O	bibnahu	Nahum
b.HAB	35O	bibhaba	Habakkuk
b.ZEP	36O	bibsefa	Zephaniah
b.HAG	37O	bibhagg	Haggai
b.ZEC	38O	bibzach	Zechariah
b.MAL	39O	bibmale	Malachi
b.MAT	40N	bibmatt	Matthew
b.MAR	41N	bibmarc	Mark
b.LUK	42N	bibluca	Luke
b.JOH	43N	bibjoha	John
b.ACT	44N	bibhand	Acts of the Apostles
b.ROM	45N	bibrome	Romans
b.1CO	46N	bib1kor	1 Corinthians
b.2CO	47N	bib2kor	2 Corinthians
b.GAL	48N	bibgala	Galatians
b.EPH	49N	bibefes	Ephesians
b.PHI	50N	bibfili	Philippians
b.COL	51N	bibkolo	Colossians
b.1TH	52N	bib1tes	1 Thessalonians
b.2TH	53N	bib2tes	2 Thessalonians
b.1TI	54N	bib1tim	1 Timothy
b.2TI	55N	bib2tim	2 Timothy
b.TIT	56N	bibtitu	Titus
b.PHM	57N	bibfile	Philemon
b.HEB	58N	bibhebr	Hebrews
b.JAM	59N	bibjaco	James
b.1PE	60N	bib1pet	1 Peter
b.2PE	61N	bib2pet	2 Peter
b.1JO	62N	bib1joh	1 John
b.2JO	63N	bib2joh	2 John
b.3JO	64N	bib3joh	3 John
b.JUD	65N	bibjuda	Jude
b.REV	66N	bibopen	Revelation
a.TOB	67A	bibtobi	Tobit
a.JUD	68A	bibjudi	Judith
a.EST	69A	bibeste	Esther, Greek
a.SOL	70A	bibwijs	Wisdom of Solomon
a.ECC	71A	bibjezu	Ecclesiasticus (Sirach)
a.BAR	72A	bibbaru	Baruch
a.JER	73A	bib1jer	Epistle of Jeremiah
a.AZA	74A	bibtoev	Prayer of Azariah
a.SUS	75A		Susanna
a.BEL	76A		Bel and the Dragon
a.1MC	77A	bib1mak	1 Maccabees
a.2MC	78A	bib2mak	2 Maccabees
a.3MC	79A	bib3mak	3 Maccabees
a.4MC	80A	bib4mak	4 Maccabees
a.1ES	81A	bib3ezr	1 Esdras
a.2ES	82A	bib4ezr	2 Esdras
a.MAN	83A	bibgebe	Prayer of Manasseh
a.151	84A		Psalm 151
a.PSL	85A		Psalm of Solomon
a.ODE	86A		Odes
b.LAO
# for b.LAO cf., http://en.wikipedia.org/wiki/Epistle_to_the_Laodiceans, contained in the Vulgata Sacra, "a short compilation of verses from other Pauline epistles, principally Philippians ... generally considered a "clumsy forgery"
